datetime,open,high,low,close,Currency pair,interval,currency_base,currency_qoute, type
27-08-2021 13:56,,1.1773,1.17695,1.1772,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:55,,,1.17715,1.1772,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:54,,1.17735,,1.17735,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:53,,1.17715,1.1769,1.17715,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:52,,1.1772,1.17675,1.17685,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:51,,1.17675,1.1764,1.17675,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:50,,1.1765,1.17615,1.17645,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:49,,1.17665,1.1755,1.1762,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:48,,1.17555,1.17455,1.17555,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:47,,1.17445,1.1744,1.1744,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:46,,1.17465,,1.1745,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:45,,1.17445,1.1742,1.1744,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:44,,1.17445,1.1742,1.17425,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:43,,1.17435,1.17415,1.1743,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:42,,1.17415,1.174,1.17415,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:41,,1.17425,1.17395,1.17415,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:40,,1.1743,1.17425,1.17425,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:39,,1.1742,,1.1741,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:38,,1.17455,1.17405,1.17435,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:37,,1.17445,1.17405,1.17445,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:36,,1.17415,1.17405,1.17415,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:35,,1.1743,,1.17405,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:34,,,1.17405,1.1742,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:33,,1.1743,1.174,1.1743,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:32,,1.17435,1.174,1.174,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:31,,1.1744,1.174,1.1742,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:30,,1.17435,1.174,1.17425,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:29,,1.17445,1.17405,1.17445,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:55,,1.1774,,1.17705,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 13:50,,1.17735,1.17615,1.17735,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 13:45,,,1.1742,1.1762,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 13:40,,1.17445,1.17395,1.17425,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 13:35,,1.17455,1.17405,1.1741,EUR/USD,5min,Euro,US Dollar,Physical
